epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.7336294311850321,0.5316139775980728,0.907978743314743,0.5750000054637591,,
2,0.7035767122632057,0.6023294518077235,0.7545979768037796,0.583333338300387,,
3,0.6763312207680574,0.6281197999360756,0.6196945061286291,0.6750000144044558,,
4,0.6344646740078728,0.6489184690196185,0.7126951540509859,0.6166666795810064,,
5,0.6537233392728149,0.6430948413350618,0.6896937737862269,0.6291666726271311,,
6,0.6029340119756597,0.6971713782546921,0.5768721650044123,0.6833333273728689,,
7,0.5714757963147219,0.7279534137586191,0.5414352416992188,0.7333333293596903,,
8,0.5622268655335844,0.7346089864134193,0.5179044504960378,0.7499999900658926,,
9,0.5398675621845163,0.7346089872068255,0.5056803151965141,0.7624999930461248,,
10,0.5165458209502717,0.7579034949697789,0.502249519030253,0.7541666577259699,,
